Date,Open,High,Low,Close
2024-10-02,177.96,179.78,174.47,176.68
2024-10-03,176.68,177.91,172.46,173.62
2024-10-04,173.62,174.76,170.53,171.81
2024-10-05,171.81,174.12,169.27,172.11
2024-10-06,172.11,173.46,165.42,167.82
2024-10-07,167.82,169.36,165.1,167.07
2024-10-08,167.07,170.46,164.91,168.88
2024-10-09,168.88,170.4,162.82,164.24
2024-10-10,164.24,168.46,161.25,166.72
2024-10-11,166.72,168.08,161.1,162.87
2024-10-12,162.87,172.04,160.09,166.84
2024-10-13,166.84,173.17,165.82,172.71
2024-10-14,172.71,186.81,170.34,180.75
2024-10-13,180.75,183.6,179.73,181.71
2024-10-14,181.71,186.62,179.44,184.18
2024-10-15,184.18,187.63,181.39,185.4
2024-10-16,185.4,189.46,183.73,187.45
2024-10-17,187.45,190.09,181.46,183.88
2024-10-18,183.88,188.87,181.9,187.24
2024-10-19,187.24,189.58,183.52,186.19
2024-10-20,186.19,188.36,180.83,183.77
2024-10-21,183.77,187.32,181.6,185.63
2024-10-22,185.63,188.33,182.54,184.38
2024-10-23,184.38,185.93,181.86,183.94
2024-10-24,183.94,186.25,182.68,183.87
2024-10-25,183.87,188.01,182.51,185.19
2024-10-26,185.19,188.69,184.0,185.92
2024-10-27,185.92,189.15,184.7,187.04
2024-10-28,187.04,189.37,180.7,182.66
2024-10-29,182.66,186.83,179.87,184.49
2024-10-30,184.49,186.32,178.5,180.46
2024-10-31,180.46,185.7,178.5,182.74
2024-11-01,182.74,187.61,174.24,179.59
2024-11-02,179.59,182.52,170.24,175.28
2024-11-03,175.28,176.72,168.25,168.87
2024-11-02,168.87,175.51,167.67,173.46
2024-11-03,173.46,176.01,168.83,171.47
2024-11-04,171.47,173.86,169.78,172.15
2024-11-05,172.15,175.1,170.56,172.42
2024-11-06,172.42,177.01,169.58,175.11
2024-11-07,175.11,177.26,172.11,174.76
2024-11-08,174.76,181.68,172.06,179.0
2024-11-09,179.0,183.86,176.19,181.76
2024-11-10,181.76,183.47,178.97,181.5
2024-11-11,181.5,184.08,175.68,178.46
2024-11-12,178.46,181.46,175.47,179.54
2024-11-13,179.54,181.26,175.13,177.56
2024-11-14,177.56,180.21,174.21,176.35
2024-11-15,176.35,177.59,171.06,173.39
2024-11-16,173.39,174.72,167.7,169.27
2024-11-17,169.27,170.97,167.8,168.93
2024-11-18,168.93,171.24,166.46,169.95
2024-11-19,169.95,174.84,168.83,172.64
2024-11-20,172.64,175.16,166.69,167.98
